Close/Last,Volume,Open,High,Low,daily_returns
211.08,28372790,213.65,215.17,210.93,-0.01576051478131113
212.42,24792750,211.38,213.03,209.93,0.006348303960583612
210.39,22843120,212.2,213.285,210.0,-0.009556538932303904
210.11,25683510,210.95,212.29,208.16,-0.001330861732971922
213.86,33979730,209.59,214.25,208.86,0.017847794012660012
213.87,21012890,215.11,215.29,212.46,4.6759562330356275e-05
215.23,14512210,214.85,216.27,214.04,0.006359003132744068
214.07,33064750,214.1,214.76,210.835,-0.005389583236537598
216.21,30931320,214.51,217.32,213.35,0.009996730041575308
215.37,23724510,214.88,215.47,212.8,-0.003885111696961263
214.24,25120920,214.61,216.3757,213.65,-0.005246784603240906
214.36,24666040,214.22,215.38,213.18,0.0005601194921582842
214.29,24620000,214.37,215.54,212.99,-0.0003265534614668164
216.01,23284090,213.97,216.95,212.89,0.008026506136543876
211.8,32440600,215.16,215.225,211.214,-0.019489838433405793
210.52,26467020,211.77,213.08,210.36,-0.006043437204910296
213.26,30979440,210.05,213.32,209.11,0.01301539046171385
214.2,28798380,213.1,216.21,212.88,0.004407765169276878
214.13,27018110,215.165,215.42,212.24,-0.00032679738562091387
219.28,35023250,214.75,220.11,214.72,0.024050810255452415
219.42,32515780,219.87,220.89,217.92,0.0006384531192995535
218.59,63354920,218.59,219.69,216.02,-0.003782699845045978
222.59,37181890,217.55,224.0,217.2801,0.018299098769385624
223.94,22643400,222.69,225.63,221.85,0.00606496248708388
221.02,18699640,223.11,223.5589,220.8,-0.013039206930427705
222.75,10550570,221.42,223.61,221.2,0.007827345941543662
224.96,17933500,224.45,226.03,223.02,0.009921436588103294
224.15,17403210,226.31,227.18,223.58,-0.003600640113798015
221.68,20272340,225.23,225.63,221.47,-0.011019406647334362
222.42,20942130,221.7,223.0,219.68,0.0033381450739804475
217.69,37130140,222.53,223.0,214.81,-0.021266073194856516
217.9,23822950,217.26,218.52,215.7,0.0009646745371858501
212.25,35930650,212.17,216.4899,211.94,-0.025929325378614032
218.29,27694480,214.04,219.34,213.71,0.028457008244993975
219.62,22956210,218.68,220.58,217.0261,0.006092812313894358
217.49,23047030,218.47,218.91,216.73,-0.009698570257717809
214.93,23249340,216.5,217.1,213.3202,-0.011770656122120582
216.34,20087080,214.02,216.76,213.9266,0.006560275438514784
213.02,29346740,215.91,217.46,212.74,-0.01534621429231764
212.65,31746510,213.52,214.51,212.03,-0.0017369261102244682
216.44,30480860,213.75,216.98,212.63,0.017822713378791377
224.34,37777260,217.7,225.79,217.2908,0.03649972278691549
224.97,30749550,224.7,226.3,222.42,0.002808237496656929
225.95,30172660,227.08,230.07,225.8,0.004356136373738773
229.53,33152100,229.12,229.78,224.22,0.015844213321531297
232.33,49169600,231.86,234.18,230.08,0.012198841110094616
232.9,69870640,238.0,240.44,230.14,0.002453406792062962
238.93,49111160,235.61,242.64,235.09,0.02589094031773298
231.96,42503140,235.99,238.02,231.35,-0.029171723935880745
239.65,33314190,235.06,242.5,232.43,0.03315226763235035
239.51,25916340,241.3,242.31,238.69,-0.0005841852701857775
243.0,27158100,239.57,245.09,239.26,0.01457141664231143
242.01,25296100,242.66,243.2399,240.37,-0.004074074074074119
242.2,18054750,242.23,243.28,240.42,0.0007850915251434998
242.47,22211930,243.15,243.68,240.81,0.001114781172584678
243.77,23564950,241.87,244.76,241.38,0.0053614880191363845
242.82,22186710,245.0,245.92,240.89,-0.0038971161340608518
244.49,15751060,244.78,245.15,242.15,0.006877522444609152
244.99,16561080,243.933,245.3,242.73,0.0020450734181356456
243.7,26728490,245.03,246.13,242.92,-0.005265521041675214
244.2,21673110,241.32,244.31,240.94,0.002051702913418163
243.79,16925560,241.8,243.93,240.86,-0.0016789516789517123
240.97,25262600,243.75,243.86,240.18,-0.011567332540301067
234.51,36446940,237.42,237.93,232.4,-0.02680831638793213
233.27,30228700,230.325,234.83,228.73,-0.005287620996972331
234.55,26339750,230.01,235.2,229.0,0.005487203669567453
228.99,39542240,232.08,234.5852,227.88,-0.023704966958004725
232.38,37819230,231.525,235.37,229.54,0.014804139918773718
236.94,25332840,235.9,237.47,233.15,0.019623031241931432
233.87,22812460,237.01,237.3,233.45,-0.012956866717312332
227.56,34029530,232.155,233.5799,227.26,-0.026980801299867463
226.73,44727790,226.735,232.49,224.26,-0.0036473896994200228
231.6,41872770,229.517,233.27,226.46,0.021479292550610873
227.39,35267440,231.37,233.365,227.13,-0.018177892918825544
233.78,33080530,232.88,235.3839,231.67,0.028101499626193016
232.42,29746810,237.0,237.0,232.04,-0.005817435195482945
237.13,29907590,234.96,239.17,234.31,0.020265037432234845
235.75,22653660,234.01,235.82,233.23,-0.005819592628515946
234.81,26042670,234.96,235.185,231.81,-0.0039872746553552
237.71,28092200,236.28,240.055,235.94,0.012350410970571879
237.04,29562100,236.15,238.55,233.23,-0.002818560430777106
230.72,34852250,232.56,234.19,230.33,-0.02666216672291588
230.35,46430730,231.02,232.474,229.3496,-0.001603675450762898
235.99,30127010,230.27,236.9,230.14,0.024484480138919018
237.58,31638380,237.485,241.05,237.07,0.0067375736260011365
235.46,25620130,237.845,238.0,235.32,-0.008923310042932897
232.34,34061850,235.3,236.94,231.57,-0.013250658285908434
236.48,25479850,231.55,236.71,231.55,0.017818713953688503
235.24,25227460,236.59,236.8,231.88,-0.005243572395128515
231.85,24792010,233.525,233.85,231.1,-0.014410814487332169
235.77,43623470,232.91,239.1,232.39,0.01690748328660785
242.35,30337980,238.47,242.84,238.0501,0.027908554947618347
249.07,36910610,242.76,249.96,242.7,0.02772849185062931
247.86,22931920,247.61,249.4,246.88,-0.0048580720279438605
249.9,22719840,247.81,250.93,247.19,0.008230452674897082
253.25,23625200,252.77,254.139,252.0,0.01340536214485799
255.85,24326830,252.87,255.99,252.44,0.010266535044422431
255.91,27148670,254.71,257.67,254.62,0.00023451240961502862
258.49,23837470,257.257,259.19,256.83,0.010081669336876375
255.59,23070940,257.475,258.83,255.16,-0.011219002669348943
259.5,25627480,257.931,259.93,257.73,0.015297938103994602
260.74,24878580,259.47,261.0,257.6014,0.00477842003853568
258.74,23209260,260.19,261.48,257.821,-0.007670476336580467
258.26,19722880,257.82,260.2,256.84,-0.0018551441601608598
260.58,24030380,258.94,260.68,257.25,0.00898319522961355
257.17,25606150,260.21,261.78,255.64,-0.013086192340164171
261.15,21499290,257.88,261.51,257.27,0.015476144184780383
261.55,19763350,261.66,262.435,260.17,0.0015316867700556624
261.97,31014210,261.585,263.19,260.12,0.0016058115083159574
254.56,46903120,256.078,256.5399,252.95,-0.028285681566591725
252.51,40589020,255.46,256.1,249.0,-0.008053111250785672
252.18,30945100,249.74,253.08,249.6,-0.0013068789354876431
251.86,19626570,253.4,254.35,251.12,-0.0012689348877785722
247.79,32756050,250.97,251.21,245.76,-0.0161597713015168
246.47,21901330,249.06,249.5,245.82,-0.005327091488760649
249.73,26491090,246.45,249.86,244.69,0.013226761877713322
252.46,27032910,252.15,254.3,251.17,0.010931806350858997
247.18,29299890,250.87,251.73,247.12,-0.020914204230373157
246.23,33641590,244.55,246.6,242.57,-0.0038433530220892687
239.0,36684370,242.165,244.38,238.07,-0.029362790886569456
243.03,29624300,241.8,245.6,241.42,0.01686192468619252
248.15,23901080,245.575,249.18,245.49,0.021067357939348996
245.18,24938180,246.55,246.59,243.52,-0.01196856739875074
243.08,20167980,246.27,246.41,242.9,-0.008565135818582204
243.12,25739810,239.31,243.23,238.6,0.00016455487905209232
246.48,21800720,243.96,247.95,243.86,0.01382033563672258
245.17,21863060,247.565,248.33,244.74,-0.005314832846478379
250.78,21411550,247.785,251.16,247.51,0.022882081820777556
251.72,17704300,251.769,252.75,250.82,0.0037483052875029177
251.49,17771600,251.43,252.94,250.75,-0.000913713650087411
249.31,24426240,251.17,251.48,249.25,-0.00866833671318945
249.68,18274940,250.995,252.08,249.56,0.0014840961052504653
247.4,23213310,251.23,251.29,246.96,-0.009131688561358597
247.3,19406710,248.125,249.27,245.84,-0.0004042037186742231
245.71,25307710,245.22,246.34,243.0,-0.006429437929640125
250.79,25281090,247.76,251.65,247.51,0.02067477921126515
253.81,23079170,249.98,254.09,249.81,0.012041947446070456
252.57,22455000,255.16,256.01,252.51,-0.004885544304794931
253.59,17937630,253.81,255.53,253.21,0.004038484380567864
257.24,24563620,254.29,257.46,253.67,0.0143933120391182
257.89,18999730,257.985,258.4868,256.61,0.0025268232001243174
259.89,19150510,257.9,259.95,256.8,0.007755244484082269
258.36,18038930,259.775,259.99,257.68,-0.0058871060833428634
257.38,27219960,259.4,260.58,254.42,-0.0037931568354234724
260.9,27565540,256.065,261.75,256.01,0.013676276322946546
259.43,37202220,259.63,262.3,258.75,-0.00563434266002294
262.63,26696120,259.82,263.52,257.92,0.012334733839571399
265.51,24694090,262.72,265.79,262.4,0.010965997791569926
265.275,19518680,265.99,266.83,264.43,-0.0008850890738578698
266.69,21446870,266.16,267.85,265.47,0.005334087267929499
265.02,25611110,266.23,267.25,264.76,-0.006261952079193112
268.72,19590020,266.185,268.9,265.91,0.013961210474681351
271.4,19937810,268.865,271.65,267.98,0.009973206311401972
270.9,21656460,270.69,271.3598,269.6043,-0.0018422991893883855
